"filename", "language", "JSON", "JavaScript", "Markdown", "XML", "JavaScript JSX", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\INTEL\Desktop\Infobest\Backend\package-lock.json", "JSON", -3320, 0, 0, 0, 0, 0, 0, 0, -1, -3321
"c:\Users\INTEL\Desktop\Infobest\Backend\package.json", "JSON", -30, 0, 0, 0, 0, 0, 0, 0, -1, -31
"c:\Users\INTEL\Desktop\Infobest\Backend\src\app.js", "JavaScript", 0, -38, 0, 0, 0, 0, 0, -1, -10, -49
"c:\Users\INTEL\Desktop\Infobest\Backend\src\config.js", "JavaScript", 0, -5, 0, 0, 0, 0, 0, 0, -2, -7
"c:\Users\INTEL\Desktop\Infobest\Backend\src\controllers\auth.controller.js", "JavaScript", 0, -106, 0, 0, 0, 0, 0, -6, -20, -132
"c:\Users\INTEL\Desktop\Infobest\Backend\src\controllers\cliente.controller.js", "JavaScript", 0, -46, 0, 0, 0, 0, 0, 0, -7, -53
"c:\Users\INTEL\Desktop\Infobest\Backend\src\controllers\garantia_dispositivo.controller.js", "JavaScript", 0, -81, 0, 0, 0, 0, 0, 0, -8, -89
"c:\Users\INTEL\Desktop\Infobest\Backend\src\controllers\reparacion.controller.js", "JavaScript", 0, -163, 0, 0, 0, 0, 0, -2, -13, -178
"c:\Users\INTEL\Desktop\Infobest\Backend\src\controllers\tasks.controller.js", "JavaScript", 0, -80, 0, 0, 0, 0, 0, 0, -11, -91
"c:\Users\INTEL\Desktop\Infobest\Backend\src\controllers\tecnico.controller.js", "JavaScript", 0, -47, 0, 0, 0, 0, 0, 0, -7, -54
"c:\Users\INTEL\Desktop\Infobest\Backend\src\db.js", "JavaScript", 0, -10, 0, 0, 0, 0, 0, 0, -1, -11
"c:\Users\INTEL\Desktop\Infobest\Backend\src\index.js", "JavaScript", 0, -5, 0, 0, 0, 0, 0, 0, -1, -6
"c:\Users\INTEL\Desktop\Infobest\Backend\src\libs\jwt.js", "JavaScript", 0, -17, 0, 0, 0, 0, 0, 0, -3, -20
"c:\Users\INTEL\Desktop\Infobest\Backend\src\middlewares\validateToken.js", "JavaScript", 0, -20, 0, 0, 0, 0, 0, -1, -5, -26
"c:\Users\INTEL\Desktop\Infobest\Backend\src\middlewares\validator.middleware.js", "JavaScript", 0, -12, 0, 0, 0, 0, 0, 0, 0, -12
"c:\Users\INTEL\Desktop\Infobest\Backend\src\models\garantia_dispositivos.model.js", "JavaScript", 0, -43, 0, 0, 0, 0, 0, 0, -2, -45
"c:\Users\INTEL\Desktop\Infobest\Backend\src\models\reparacion.model.js", "JavaScript", 0, -51, 0, 0, 0, 0, 0, 0, -2, -53
"c:\Users\INTEL\Desktop\Infobest\Backend\src\models\task.model.js", "JavaScript", 0, -35, 0, 0, 0, 0, 0, 0, -3, -38
"c:\Users\INTEL\Desktop\Infobest\Backend\src\models\user.model.js", "JavaScript", 0, -29, 0, 0, 0, 0, 0, -1, -3, -33
"c:\Users\INTEL\Desktop\Infobest\Backend\src\routes\auth.routes.js", "JavaScript", 0, -15, 0, 0, 0, 0, 0, -2, -3, -20
"c:\Users\INTEL\Desktop\Infobest\Backend\src\routes\cliente.routes.js", "JavaScript", 0, -9, 0, 0, 0, 0, 0, 0, -1, -10
"c:\Users\INTEL\Desktop\Infobest\Backend\src\routes\garantia_dispositivo.routes.js", "JavaScript", 0, -12, 0, 0, 0, 0, 0, 0, -3, -15
"c:\Users\INTEL\Desktop\Infobest\Backend\src\routes\reparacion.routes.js", "JavaScript", 0, -15, 0, 0, 0, 0, 0, 0, -3, -18
"c:\Users\INTEL\Desktop\Infobest\Backend\src\routes\tasks.routes.js", "JavaScript", 0, -13, 0, 0, 0, 0, 0, 0, -4, -17
"c:\Users\INTEL\Desktop\Infobest\Backend\src\routes\tecnico.routes.js", "JavaScript", 0, -11, 0, 0, 0, 0, 0, 0, -3, -14
"c:\Users\INTEL\Desktop\Infobest\Backend\src\schemas\auth.shema.js", "JavaScript", 0, -31, 0, 0, 0, 0, 0, 0, -2, -33
"c:\Users\INTEL\Desktop\Infobest\Backend\src\schemas\garantia_dispositivo.schema.js", "JavaScript", 0, -22, 0, 0, 0, 0, 0, -6, -2, -30
"c:\Users\INTEL\Desktop\Infobest\Backend\src\schemas\reparacion.schema.js", "JavaScript", 0, -28, 0, 0, 0, 0, 0, -2, -2, -32
"c:\Users\INTEL\Desktop\Infobest\Backend\src\schemas\task.shema.js", "JavaScript", 0, -14, 0, 0, 0, 0, 0, 0, -2, -16
"c:\Users\INTEL\Desktop\Infobest\Backend\src\schemas\tecnico.schema.js", "JavaScript", 0, -26, 0, 0, 0, 0, 0, 0, -2, -28
"c:\Users\INTEL\Desktop\Infobest\frontend\.eslintrc.cjs", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\INTEL\Desktop\Infobest\frontend\README.md", "Markdown", 0, 0, 5, 0, 0, 0, 0, 0, 4, 9
"c:\Users\INTEL\Desktop\Infobest\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\INTEL\Desktop\Infobest\frontend\package-lock.json", "JSON", 6320, 0, 0, 0, 0, 0, 0, 0, 1, 6321
"c:\Users\INTEL\Desktop\Infobest\frontend\package.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 0, 1, 45
"c:\Users\INTEL\Desktop\Infobest\frontend\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\INTEL\Desktop\Infobest\frontend\public\vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\INTEL\Desktop\Infobest\frontend\src\App.css", "CSS", 0, 0, 0, 0, 0, 37, 0, 0, 7, 44
"c:\Users\INTEL\Desktop\Infobest\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 79, 0, 0, 3, 21, 103
"c:\Users\INTEL\Desktop\Infobest\frontend\src\ProtectedRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 8, 0, 0, 2, 2, 12
"c:\Users\INTEL\Desktop\Infobest\frontend\src\api\auth.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\INTEL\Desktop\Infobest\frontend\src\api\axios.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
